time,temp,rhum,prcp,snwd,wdir,wspd,wpgt,pres,tsun,cldc,coco,wchill
2022-01-01 00:00:00,2.0,96,0.2,,102,6.8,,1016.0,,,,-0.01054623793256293
2022-01-01 01:00:00,1.7,96,0.3,,0,0.0,,1015.6,,,,14.176549999999999
2022-01-01 02:00:00,1.1,100,,,0,0.0,,1015.3,,,,13.80365
2022-01-01 03:00:00,1.7,100,0.8,,0,0.0,,1015.0,,,,14.176549999999999
2022-01-01 04:00:00,1.7,96,0.8,,0,0.0,,1015.0,,,5,14.176549999999999
2022-01-01 05:00:00,2.2,100,0.3,,0,0.0,,1014.3,,,5,14.4873
2022-01-01 06:00:00,1.7,96,0.0,,0,0.0,,1014.4,,,5,14.176549999999999
2022-01-01 07:00:00,1.7,100,0.0,,0,0.0,,1015.0,,,5,14.176549999999999
2022-01-01 08:00:00,1.7,96,0.0,,0,0.0,,1014.7,,,5,14.176549999999999
2022-01-01 09:00:00,1.7,100,0.0,,0,0.0,,1014.6,,,5,14.176549999999999
2022-01-01 10:00:00,1.7,100,0.0,,0,0.0,,1013.9,,,5,14.176549999999999
2022-01-01 11:00:00,1.1,100,0.0,,0,0.0,,1014.3,,,5,13.80365
2022-01-01 12:00:00,1.7,96,0.0,,0,0.0,,1013.7,,,5,14.176549999999999
2022-01-01 13:00:00,1.7,100,0.0,,0,0.0,,1013.6,,,5,14.176549999999999
2022-01-01 14:00:00,2.2,100,0.0,,0,0.0,,1013.5,,,5,14.4873
2022-01-01 15:00:00,2.8,96,,,0,0.0,,1013.2,,,,14.860199999999999
2022-01-01 16:00:00,3.9,100,0.3,,0,0.0,,1011.7,,,,15.543849999999999
2022-01-01 17:00:00,5.0,96,0.3,,0,0.0,,1009.9,,,5,16.2275
2022-01-01 18:00:00,5.6,100,,,0,0.0,,1008.9,,,5,16.6004
2022-01-01 19:00:00,3.9,100,0.0,,0,0.0,,1008.9,,,5,15.543849999999999
2022-01-01 20:00:00,3.9,100,0.3,,0,0.0,,1008.1,,,5,15.543849999999999
2022-01-01 21:00:00,5.0,100,0.3,,0,0.0,,1007.4,,,5,16.2275
2022-01-01 22:00:00,3.9,100,0.0,,0,0.0,,1007.1,,,5,15.543849999999999
2022-01-01 23:00:00,2.2,100,0.0,,0,0.0,,1007.2,,,5,14.4873
2022-01-02 00:00:00,3.3,96,0.0,,0,0.0,,1006.9,,,5,15.17095
2022-01-02 01:00:00,2.8,100,0.0,,0,0.0,,1007.1,,,5,14.860199999999999
2022-01-02 02:00:00,2.8,100,0.0,,0,0.0,,1006.0,,,5,14.860199999999999
2022-01-02 03:00:00,2.2,100,0.0,,0,0.0,,1005.6,,,5,14.4873
2022-01-02 04:00:00,1.7,100,0.0,,0,0.0,,1005.4,,,5,14.176549999999999
2022-01-02 05:00:00,2.2,100,0.0,,0,0.0,,1004.6,,,5,14.4873
2022-01-02 06:00:00,2.2,100,0.0,,0,0.0,,1003.5,,4,5,14.4873
2022-01-02 07:00:00,1.7,100,0.0,,0,0.0,,1003.5,,,,14.176549999999999
2022-01-02 08:00:00,2.8,96,0.0,,20,5.4,,1003.6,,,,1.4225942053586498
2022-01-02 09:00:00,2.8,96,0.0,,0,0.0,,1002.1,,,,14.860199999999999
2022-01-02 10:00:00,2.8,96,0.0,,0,0.0,,1001.9,,,,14.860199999999999
2022-01-02 11:00:00,2.8,100,,,0,0.0,,1001.9,,,,14.860199999999999
2022-01-02 12:00:00,2.8,100,0.0,,0,0.0,,1001.9,,,,14.860199999999999
